MNTN_CODE,MNTN_NM,MNTN_LOC,MNTN_HEIGHT,ROAD_EASY,ROAD_MID,ROAD_DIFF,ROAD_SUM,MNTN_RES,COS_SIM
301100101,강바위산,,0,4.42,0.0,0.0,4.42,[],
441801501,양각산,경상남도 거창군 웅양면 산포리,1158,35.54,0.99,0.0,36.53,"<item><crcmrsghtngetcimageseq>http://www.forest.go.kr/swf/foreston/mountain/</crcmrsghtngetcimageseq><crcmrsghtnginfodscrt>&lt;p&gt;● 숙식 및 기타정보&lt;br /&gt;불석계곡사무소를 지나 내려오면 매운탕을 전문으로 하는 민박집(055-944-0772)이 있다.&lt;br /&gt;이 외에 숙식은 거창읍으로 이동해야 한다.
&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;● 이용문의&lt;br /&gt;거창군 문화관광과 055-940-3183&lt;br /&gt;함양국유림관리소 055-963-8111&lt;/p&gt;</crcmrsghtnginfodscrt><crcmrsghtnginfoetcdscrt> </crcmrsghtnginfoetcdscrt><hkngpntdscrt> </hkngpntdscrt><hndfmsmtnmapimageseq>http://www.forest.go.kr/swf/foreston/mountain/</hndfmsmtnmapimageseq><hndfmsmtnslctnrson> </hndfmsmtnslctnrson><mntnattchimageseq>http://www.forest.go.kr/newkfsweb/cmm/fms/getImage.do?fileSn=1&amp;atchFileId=FILE_000000000424232</mntnattchimageseq><mntnid>40000671</mntnid><mntninfodscrt> </mntninfodscrt><mntninfodtlinfocont>양각산(兩角山)의 옛 이름은 금광산(金光山)이다, 북쪽 수도산 신선봉을 기점으로 남진하는 줄기의 4km 지점에 있다. 정상을 중심으로 동쪽에는 거창의 두메인 가북면 중촌리 수재 심방소가 자리하고 서쪽으로 웅양댐 위쪽에 자리한 금광(金光)마을을 품고 있다. 양각산의 양각(兩角)은 두 개의 소뿔을 의미한다. 따라서 소뿔산이라고 불러도 무방하다. 화강암지반을 갖고 높이 솟은 두 봉우리는 동서쪽으로 벼랑을 수반하고 소뿔형상의 암·수 자웅형태로 솟은 두 봉우리 가운데 복쪽 봉우리가 정상이다. 북봉의 정점이 되는 곳은 여러 형태의 바위들이 모여 있다. 그곳 중심 돌출된 바위 모양새는 남성을 상징하는 심벌처럼 생겼다. 남쪽에는 거북 모양새의 기이한 바위가 있는데 거북바위 뒷모습이 마치 여인 궁둥이처럼 생겼다. 거북바위 가까운 곳에는 바위구멍 한 개가 패여 있다. 언제 누가 양각산 정상 암반 위에 바위구멍을 파 놓았는지 알 수 없어도 성신신앙에서 비롯된 소산임을 알 수 있다. 바위구멍을 실측하여 보았더니 둘레 63cm에 길이가 15cm 된다. 이 바위구멍을 천정(天井)이라 부르는데 그 바위 구멍 속에 하늘물이 고여 있다. 북봉 주변에는 물고기 거북형상 등을 지닌 바위들이 많고 남봉에는 제단을 쌓았던 돌들로 여겨지는 막돌들을 이용하여 쌓아놓은 키 작은 돌무지탑(케언)들이 놓여 있다. 이 산의 특징은 양각이 소뿔의 의미를 담고 소와 관계된 것처럼 산이 갖는 재, 골짜기, 마을 이름들이 모두 소와 인연하여 이름이 지어졌다는 점이다. 양각산 서쪽 거창에서 김천시 대덕면으로 넘는 고개를 소머리고개 곧 우두령(牛頭嶺)이고 우두령 오르는 길에 놓은 마을은 소구시를 뜻하는 구수(口水)마을이고, 희대미산 아래 안긴 랑 우랑동(牛郞洞)이 소불알을 뜻한 마을이니 모두 소와 인연한 이름들이다. 소는 범어(梵語)로 가야(Gaya)를 뜻한다. 예날 이곳은 가야국에 속한 곳이어서 여기 ‘소’와 무관하지 만은 않다. 또한 수도산과 이어져 동쪽 가야산으로 드는 준령으로서 가야와 같은 맥락임을 알 수 있다. 양각산 예 이름인 금광산(金光山)은 고산자(古山子) 대동여지도 및「거창고읍지」에서 찾아 볼 수 있으나 금광(金光)이란 이름은 현재 양각산이 품고 있는 산아래 금광(金光)마을 이름으로 남아 있다. 금광(金光)이란 부처님을 뜻한다. 옛날 양각산 아래 금광사라 하는 절이 있었으며「거창향지」에서는 마을 근처 산에 금이 많이 묻혀 있었다는 전설에 의해 금광이라 한다고 하였다. 또 산의 반석에 항상 물이 번져 햇볕에 번쩍번쩍 금빛이 난다하여 이름 되었다고 한다. 양각산은 수도산에 인접하여 골이 깊고 옛날에는 산삼이 자생하였다고 전하며 현재에는 천마, 주치 등 한약재가 많이 자생한다. 양각산 아래 2km거리에 희대미산이 솟아 있으며 위족으로 수도산 신선봉과 연결 짓고 서쪽 거말흘산(巨末屹山, 902m)사이 우두령이 놓여 옛날에는 전략적 거점지로서 우두령은 임진왜란 때 김면(金沔)장군 지휘 아래 우척현 싸움이 있었던 곳으로 유명하다. 양각산이 품고 있는 웅양댐물은 어인동, 인삼동, 동북쪽 골짜기의 발원이다. 출처 : 「거창의 명산」 거창문화원(정태주·안수상 편저)</mntninfodtlinfocont><mntninfohght>1158</mntninfohght><mntninfomangrtlno> </mntninfomangrtlno><mntninfomapdnldfilenm>http://www.forest.go.kr/swf/foreston/mountain/</mntninfomapdnldfilenm><mntninfomngmemnbdnm> </mntninfomngmemnbdnm><mntninfopoflc>경상남도 거창군 웅양면 산포리</mntninfopoflc><mntninfotrnspinfoimageseq>http://www.forest.go.kr/swf/foreston/mountain/</mntninfotrnspinfoimageseq><mntnnm>양각산</mntnnm><mntnsbttlinfo> </mntnsbttlinfo><pbtrninfodscrt>&lt;p&gt;출발점 : 거창 군내버스정류장 &lt;br /&gt;거창-&gt;심방 : 하루 5회 운행&lt;/p&gt;</pbtrninfodscrt><ptmntrcmmncoursdscrt> </ptmntrcmmncoursdscrt><rcmmncoursimageseq>http://www.forest.go.kr/swf/foreston/mountain/</rcmmncoursimageseq></item>",0.7223151185146154
451301501,대초산,,0,3.24,0.0,0.0,3.24,[],
441500103,금남정맥안골산,,0,6.77,0.0,0.0,6.77,[],
457302401,박석산,,0,10.52,0.0,0.0,10.52,[],
481700701,망진산,경상남도 진주시,172,10.720000000000002,0.0,0.0,10.720000000000002,"<item><crcmrsghtngetcimageseq>http://www.forest.go.kr/swf/foreston/mountain/</crcmrsghtngetcimageseq><crcmrsghtnginfodscrt>봉수대-복원된 봉수대는 원래 '망진봉수(望陣烽燧)'란 이름으로 조선초기에 건립된 봉수대인데,고종 32년인 1895년 폐지되기 전까지 수백년년동안 우리나라의 전통적인 통신수단으로 기능해 왔다. 진주의 망진산 봉수대는 조선시대에 돌과 흙을 섞어서 만들어진 것으로 전하며, 개 직봉 노선 가운데 동래 다대포진에서 목멱산(현 서울 남산)에 이르는 제2노선의 보조노선(간봉)으로서 남해 금산-사천 안점의 봉수를 받아 진주시 명석면 광제산 봉수대로 이어 주는 곳이었다. 그러나 1895년 전국의 봉수제를 폐지하면서 망진산 봉수대도 기능을 잃었으나 1894년 동학농민항쟁과 1919년 3·1만세운동을 벌일 때 망진산 봉수대를 사용한 것으로 전하며, 그 뒤 일제는 전국의 봉수대를 파괴하거나 훼손하여 역사적 사실을 파묻었다. &amp;lt;br /&amp;gt;야간에 봉수대까지 차를 가지고 올라갈수 있고 진주 야경을 한눈에 볼수있는 봉수대가 명소 전망좋은 명소중의 하나이다.</crcmrsghtnginfodscrt><crcmrsghtnginfoetcdscrt>&amp;amp;#160;</crcmrsghtnginfoetcdscrt><hkngpntdscrt> </hkngpntdscrt><hndfmsmtnmapimageseq>http://www.forest.go.kr/swf/foreston/mountain/</hndfmsmtnmapimageseq><hndfmsmtnslctnrson>&amp;amp;#160;</hndfmsmtnslctnrson><mntnattchimageseq>http://www.forest.go.kr/newkfsweb/cmm/fms/getImage.do?fileSn=1&amp;atchFileId=FILE_000000000423506</mntnattchimageseq><mntnid>20001524</mntnid><mntninfodscrt>&amp;amp;nbsp;시인근안에 있는 진주 6대산 중 하나로 대체적으로 완만한 경사를 가지고 있으며, 근처에 아파트 단지가 있어 주로 아파트 주민들이 자주 이용한다. 아침,저녁 가벼운 등산의 개념으로 오르고 체육공원의 설치로 체력단련의 목적으로 많이 오르고있다.두개의 산(망진산,가좌산)이 이어져 있어 반나절코스로도 이용가능하다.진주시 인근의 어느산보다 진주시내의 정경을 깔끔하게 볼수있다. 진주의 야경이 가장 멋있는 산이기도 하다. 봉수대 유적을 가지고 있어 볼꺼리 또한 제공해준다&amp;lt;br /&amp;gt;망경남동의 뒷마루에 있기 때문에 보통 망경산이라고도 부르는데 그 둘레에 약 300m의 토성지가 남아 있다. 성터 안에 망경산 봉수대지(烽燧臺址)가 자리하고 있다.망경초등학교 뒤쪽비탈길을 따라 조금 오르면 약수터와 금선암이 있으며 또 이를 지나 계단으로 이어진 가파른 등산길을 오르면 산꼭대기에 TV 중계소가 있다. 그 옆에 시민들을 위한체육시설이 갖추어져 있어서 천전지구 인접 주민들의 조깅장소로 많이 이용되고 있다.&amp;lt;br /&amp;gt;망진산 봉수대는 진주와 진양 통합이후에 새롭게 복원되었는데 망진산 봉수대에서 바라본 시가지 전경은 진주8경의 하나로 신안·평거 지역을 중심으로 진주성을 조망할 수 있는 가장 좋은 곳으로 많은 사람들이 찾고 있다</mntninfodscrt><mntninfodtlinfocont>&amp;amp;#160;</mntninfodtlinfocont><mntninfohght>172</mntninfohght><mntninfomangrtlno>055-749-2114</mntninfomangrtlno><mntninfomapdnldfilenm>http://www.forest.go.kr/swf/foreston/mountain/</mntninfomapdnldfilenm><mntninfomngmemnbdnm>진주시</mntninfomngmemnbdnm><mntninfopoflc>경상남도 진주시</mntninfopoflc><mntninfotrnspinfoimageseq>http://www.forest.go.kr/swf/foreston/mountain/</mntninfotrnspinfoimageseq><mntnnm>망진산</mntnnm><mntnsbttlinfo>http://tour.jinju.go.kr/</mntnsbttlinfo><pbtrninfodscrt>&amp;amp;#160;</pbtrninfodscrt><ptmntrcmmncoursdscrt> </ptmntrcmmncoursdscrt><rcmmncoursimageseq>http://www.forest.go.kr/swf/foreston/mountain/</rcmmncoursimageseq></item>",0.3611575592573077
421101701,마적산,"강원도 춘천시 신북읍, 북산면",610,25.55,1.16,0.0,26.71,"<item><crcmrsghtngetcimageseq>http://www.forest.go.kr/swf/foreston/mountain/</crcmrsghtngetcimageseq><crcmrsghtnginfodscrt>● 숙식및기타정보&lt;BR&gt;청평사 관광지내 숙식 장소가 있다. &lt;BR&gt;청평산장 ☎033-244-0580&lt;BR&gt;오봉산장 ☎033-244-6606&lt;BR&gt;고려산장 ☎033-243-1188&lt;BR&gt;오봉산수식당 ☎033-442-7868&lt;BR&gt;&lt;BR&gt;● 이용문의&lt;BR&gt;춘천시청 관광진흥과 ☎033-250-3064</crcmrsghtnginfodscrt><crcmrsghtnginfoetcdscrt>① 배후령&amp;nbsp;- 780봉&amp;nbsp;- 정상&amp;nbsp;- 642봉&amp;nbsp;- 나루터(총 2시간 10분)</crcmrsghtnginfoetcdscrt><hkngpntdscrt> </hkngpntdscrt><hndfmsmtnmapimageseq>http://www.forest.go.kr/swf/foreston/mountain/</hndfmsmtnmapimageseq><hndfmsmtnslctnrson>&amp;nbsp;</hndfmsmtnslctnrson><mntnattchimageseq>http://www.forest.go.kr/newkfsweb/cmm/fms/getImage.do?fileSn=1&amp;atchFileId=FILE_000000000423596</mntnattchimageseq><mntnid>20000703</mntnid><mntninfodscrt>&amp;nbsp;</mntninfodscrt><mntninfodtlinfocont>청평사라는 명찰을 품은 오봉산의 남쪽에 자리한 산이다. 북쪽으로 오봉산(779ｍ)과 연결되어 있고, 동쪽으로는 봉화산(736ｍ)과 맞대고 있다. 마적산은 오봉산의 주능선이 서남쪽으로 나가다가 정남 방향으로 꺾이면서 최고봉인 785고지를 만들고 일직선으로 뻗어 내려가면서 크고 작은 여러 개의 봉우리를 일구고 있다. 마적산 산행의 백미라 하면 하산을 하면서 소양호를 감상 할 수 있다는 것이다. &lt;BR&gt;능선에는 주로 떡갈나무, 상수리나무 같은 참나무류가 숲을 이루고 있으며 도중에 무수한 칡덩쿨과 드룹나무 군락이 있다. 정상에서는 춘천시와 시가지를 가로지르는 소양강이 눈에 들어온다.</mntninfodtlinfocont><mntninfohght>610</mntninfohght><mntninfomangrtlno> </mntninfomangrtlno><mntninfomapdnldfilenm>http://www.forest.go.kr/swf/foreston/mountain/</mntninfomapdnldfilenm><mntninfomngmemnbdnm>춘천시청</mntninfomngmemnbdnm><mntninfopoflc>강원도 춘천시 신북읍, 북산면</mntninfopoflc><mntninfotrnspinfoimageseq>http://www.forest.go.kr/swf/foreston/mountain/T_M0703.jpg         </mntninfotrnspinfoimageseq><mntnnm>마적산</mntnnm><mntnsbttlinfo>춘천 호반산행의 마지막 산</mntnsbttlinfo><pbtrninfodscrt>출발점 : 춘천&lt;BR&gt;춘천시외버스터미널에서 양구행, 오음리행 버스 이용. 배후령 하차, 약 40분 소요.</pbtrninfodscrt><ptmntrcmmncoursdscrt> </ptmntrcmmncoursdscrt><rcmmncoursimageseq>http://www.forest.go.kr/swf/foreston/mountain/</rcmmncoursimageseq></item>",0.5897678246195885
287201701,노적산,,0,6.93,0.0,0.0,6.93,[],
468300801,상은적산,,0,33.870000000000005,0.0,0.0,33.870000000000005,[],
488604901,이방산,경상남도 산청군,716,23.86,0.0,0.0,23.86,"<item><crcmrsghtngetcimageseq>http://www.forest.go.kr/swf/foreston/mountain/</crcmrsghtngetcimageseq><crcmrsghtnginfodscrt>&amp;amp;nbsp;대원사다층석탑 보물1112호, 내원사삼층석탑 보물1113호, 삼장면대포리 보물1114호, 삼장사지삼층석탑 시도유형문화재 31호, 조식유적 사적 305호,상사바위, 갓바위, 굴바위등</crcmrsghtnginfodscrt><crcmrsghtnginfoetcdscrt>&amp;amp;#160;</crcmrsghtnginfoetcdscrt><hkngpntdscrt> </hkngpntdscrt><hndfmsmtnmapimageseq>http://www.forest.go.kr/swf/foreston/mountain/</hndfmsmtnmapimageseq><hndfmsmtnslctnrson>&amp;amp;#160;</hndfmsmtnslctnrson><mntnattchimageseq>http://www.forest.go.kr/newkfsweb/cmm/fms/getImage.do?fileSn=1&amp;atchFileId=</mntnattchimageseq><mntnid>20001567</mntnid><mntninfodscrt>이방산(二方山)은 지리산의 지맥인 웅성봉 남쪽 줄기에 속해 있는 산이다. 웅석봉에서 남쪽으로 뻗은 줄기가 마근담봉에서 양분되는데 좌측은 수양산까지 세력이 뻗어있고 우측으로 뻗어있는 줄기는 시천면 면소재지까지 뻗어있다. 우측에 감투봉과 이방산이 속해있다. 이방산(二方山)은 한자의 뜻 그대로 양방향으로만 줄기가 뻗어 있어 남북으로 길게 늘어져 있고 동서방향의 줄기는 발달이 상대적으로 미약하나 경사는 급하편이며 어떤 구간은 칼등위를 걷는 정도의 가파른 경사가 좌우로 형성되어 있다. 이방산과 같은 줄기에 속해 있는 감투봉은 해발이 더 높으나 봉우리로만 알려져 있다. 아마 등산노선이 이방산 위주로 형성되어 있고 감투봉은 산아래에서 직접 오르기에는 경사가 급하여 노선이 능선에만 발달 하였기 때문인 것 같다. 주변 조망은 감투봉이나 이방산 모두 높은 관목이 시야를 막고 있어 좋지 못한 편이다. 단 마근담봉에서 감투봉 가는 노선에서는 지리산 천왕봉과 주변 줄기 조망이 우수하고 이방산, 감투봉, 웅석봉 줄기 조망도 좋다.&amp;lt;br /&amp;gt;&amp;#xD;
이방산(二方山)의 산명은 한자의 뜻 그대로 남북으로 길게 널어져 있는 산줄기가 두 방향으로만 형성되어 있어 붙여진 이름이고 임진왜란때 손씨 3형제가 파구정(삼장초교)이라는 곳에서 왜구를 크게 무찔렀고 감투봉과 삼장면 주변에서 의병 활동을 활발이 했기 때문에 의병 활동의 주 무대인 이곳의 산이름을 감투봉(敢鬪峰)이라 불리어진 것 같다. 이방산에는 여러 바위가 있는데 상사바위에 관한 전설이 지금까지 전해오고 있다. 옛날 서질골(현,삼장농협뒤)에 질그릇을 굽는 도공 노부부와 얼굴이 예쁜 금녀라는 딸이 살고 있었다. 금녀는 매일 집앞을 지나 서당에 가는 양반집 아들 이도령의 모습에 반하여 그를 사모하게 되었다. 그러나 신분의 차이로 금녀는 이도령에게 사모의 정을 표현하지 못하고 그 애정만 날이 갈수록 깊어 갔다. 세월이 흘러 이도령이 좋은 혼처가 생겨 결혼을 하게되자, 금녀의 짝사랑은 더욱 깊어져 병이 되었다. 상사병에 걸린 금녀는 따뜻한 봄날 나물캐러 산에 올랐다가 큰바위 위에 이르게 되었다. 그런데 금녀의 눈에 저멀리 있는 바위에서 갓을 쓴 이도령이 거기로 오라는 손짓을 하는 모습이 보였다. 넋이 나간 금녀는 거기로 가려다 그만 바위밑 소(沼)에 떨어져 죽고 말았다. 그후 금녀가 떨어져 죽은 바위를 상사(相思)바위, 갓을 쓴 이도령의 허상이 보였던 바위를 갓바위라고 부르게 되었다.</mntninfodscrt><mntninfodtlinfocont>&amp;amp;#160;</mntninfodtlinfocont><mntninfohght>716</mntninfohght><mntninfomangrtlno>055-970-6000</mntninfomangrtlno><mntninfomapdnldfilenm>http://www.forest.go.kr/swf/foreston/mountain/</mntninfomapdnldfilenm><mntninfomngmemnbdnm>산청군</mntninfomngmemnbdnm><mntninfopoflc>경상남도 산청군</mntninfopoflc><mntninfotrnspinfoimageseq>http://www.forest.go.kr/swf/foreston/mountain/</mntninfotrnspinfoimageseq><mntnnm>이방산</mntnnm><mntnsbttlinfo>http://tour.sancheong.ne.kr</mntnsbttlinfo><pbtrninfodscrt>&amp;amp;#160;</pbtrninfodscrt><ptmntrcmmncoursdscrt> </ptmntrcmmncoursdscrt><rcmmncoursimageseq>http://www.forest.go.kr/swf/foreston/mountain/</rcmmncoursimageseq></item>",0.3611575592573077
