MNTN_CODE,MNTN_NM,MNTN_LOC,MNTN_HEIGHT,ROAD_EASY,ROAD_MID,ROAD_DIFF,ROAD_SUM,MNTN_RES
287201304,100고지,,0,8.64,0,0,8.64,[]
301106104,116고지,,0,3.37,0,0,3.37,[]
301105704,133고지,,0,2.13,0,0,2.13,[]
301102904,136고지금성마을,,0,1.43,0,0,1.43,[]
301103004,138고지,,0,0.83,0,0,0.83,[]
301105904,159고지,,0,1.53,0,0,1.53,[]
301103204,168고지,,0,1.86,0,0,1.86,[]
301106204,175고지,,0,5.0200000000000005,0,0,5.0200000000000005,[]
301103304,179고지,,0,6.91,0,0,6.91,[]
301103404,201고지,,0,1.7800000000000002,0,0,1.7800000000000002,[]
301103504,212고지,,0,1.36,0.02,0,1.3800000000000001,[]
422306704,가곡병풍바위,,0,0.81,0,0,0.81,[]
438003204,가대리문화마을,,0,2.15,0,0,2.15,[]
264400404,가덕도,,0,18.880000000000003,0.16,0,19.040000000000003,[]
482700101,가래봉,경상남도 거제시 남부면,585,20.52,0,0,20.52,"<item><crcmrsghtngetcimageseq>http://www.forest.go.kr/swf/foreston/mountain/</crcmrsghtngetcimageseq><crcmrsghtnginfodscrt>&amp;amp;nbsp;</crcmrsghtnginfodscrt><crcmrsghtnginfoetcdscrt>&amp;amp;nbsp;</crcmrsghtnginfoetcdscrt><hkngpntdscrt> </hkngpntdscrt><hndfmsmtnmapimageseq>http://www.forest.go.kr/swf/foreston/mountain/</hndfmsmtnmapimageseq><hndfmsmtnslctnrson>&amp;amp;nbsp;</hndfmsmtnslctnrson><mntnattchimageseq>http://www.forest.go.kr/newkfsweb/cmm/fms/getImage.do?fileSn=1&amp;atchFileId=</mntnattchimageseq><mntnid>20001312</mntnid><mntninfodscrt>&amp;amp;nbsp;</mntninfodscrt><mntninfodtlinfocont>노자산의 남릉 끝머리에서 불쑥 솟아난 암봉이 가래봉으로 마을사람은 망산 이라고도 부른다.&amp;lt;br /&amp;gt;
가라산으로도 알려진 이 산은 주봉 외는 평범한 육산으로 노자산과 더불어 희귀식물의 서식지로 알려져 있다. &amp;lt;br /&amp;gt;
남부면의 중심산역인 이 산의 동릉은 거제도의 끝머리에 위치한 천장산으로 이어지고, 북릉은 노자산과 주릉을 이루고 있다.</mntninfodtlinfocont><mntninfohght>585</mntninfohght><mntninfomangrtlno> </mntninfomangrtlno><mntninfomapdnldfilenm>http://www.forest.go.kr/swf/foreston/mountain/</mntninfomapdnldfilenm><mntninfomngmemnbdnm> </mntninfomngmemnbdnm><mntninfopoflc>경상남도 거제시 남부면</mntninfopoflc><mntninfotrnspinfoimageseq>http://www.forest.go.kr/swf/foreston/mountain/</mntninfotrnspinfoimageseq><mntnnm>가래봉</mntnnm><mntnsbttlinfo> </mntnsbttlinfo><pbtrninfodscrt>&amp;amp;nbsp;</pbtrninfodscrt><ptmntrcmmncoursdscrt> </ptmntrcmmncoursdscrt><rcmmncoursimageseq>http://www.forest.go.kr/swf/foreston/mountain/</rcmmncoursimageseq></item>"
441500101,가마봉,"강원도 홍천군 내촌면, 인제군 남면",925,3.24,0,0,3.24,"<item><crcmrsghtngetcimageseq>http://www.forest.go.kr/swf/foreston/mountain/</crcmrsghtngetcimageseq><crcmrsghtnginfodscrt>&amp;amp;nbsp;</crcmrsghtnginfodscrt><crcmrsghtnginfoetcdscrt>&amp;amp;nbsp;</crcmrsghtnginfoetcdscrt><hkngpntdscrt> </hkngpntdscrt><hndfmsmtnmapimageseq>http://www.forest.go.kr/swf/foreston/mountain/</hndfmsmtnmapimageseq><hndfmsmtnslctnrson>&amp;amp;nbsp;</hndfmsmtnslctnrson><mntnattchimageseq>http://www.forest.go.kr/newkfsweb/cmm/fms/getImage.do?fileSn=1&amp;atchFileId=FILE_000000000424491</mntnattchimageseq><mntnid>20000007</mntnid><mntninfodscrt>&amp;amp;nbsp;</mntninfodscrt><mntninfodtlinfocont>강원도 홍천군 내천면과 인제군 상남면의 경계에 걸쳐 있는 가마봉은 산을 즐겨 타는 등반객들에게도 잘 알려지지 않아 자연 그대로의 정경을 간직한 산이다.&amp;lt;br /&amp;gt;
산행기점인 김부리는 신라의 마지막 왕인 김부(金傅)에서 유래한 지명인데 세월이 흐르면서 현재 `金富'로 변했다고 한다.</mntninfodtlinfocont><mntninfohght>925</mntninfohght><mntninfomangrtlno> </mntninfomangrtlno><mntninfomapdnldfilenm>http://www.forest.go.kr/swf/foreston/mountain/</mntninfomapdnldfilenm><mntninfomngmemnbdnm> </mntninfomngmemnbdnm><mntninfopoflc>강원도 홍천군 내촌면, 인제군 남면</mntninfopoflc><mntninfotrnspinfoimageseq>http://www.forest.go.kr/swf/foreston/mountain/</mntninfotrnspinfoimageseq><mntnnm>가마봉</mntnnm><mntnsbttlinfo>등반객들의 발길이 닿지 않은 처녀림</mntnsbttlinfo><pbtrninfodscrt>&amp;amp;nbsp;</pbtrninfodscrt><ptmntrcmmncoursdscrt> </ptmntrcmmncoursdscrt><rcmmncoursimageseq>http://www.forest.go.kr/swf/foreston/mountain/</rcmmncoursimageseq></item>"
491100504,가마오름,,0,0.77,0,0,0.77,[]
491102904,가메오름,,0,0.19,0,0,0.19,[]
491300504,가세오름,,0,0.52,0,0,0.52,[]
427709304,가수리,,0,12.049999999999999,0,0,12.049999999999999,[]
491300604,가시악,,0,0.6,0,0,0.6,[]
301103604,가양공원,,0,12.950000000000001,0.03,0,12.98,[]
301103704,가오공원,,0,1.4900000000000002,0,0,1.4900000000000002,[]
